Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,ZS Anzahl,Diesel,ZS Diesel,Hybrid,ZS Hybrid,Benzin-Hybrid,ZS Benzin-Hybrid,Diesel-Hybrid,ZS Diesel-Hybrid,Hybrid (ohne Plug-in),ZS Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),ZS Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),ZS Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,ZS Plug-in-Hybrid,Benzin-Plug-in-Hybrid,ZS Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,ZS Diesel-Plug-in-Hybrid,Elektro (BEV),ZS Elektro (BEV),Allradantrieb,ZS Allrad,offener Aufbau,ZS offener Aufbau,gewerblich,ZS gewerblich,ObjectId,Monat Sortierung
2024,Januar,KOMPAKTKLASSE,BMW,1ER,1521,,217,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,116,,,-,1048,,14008,1
2024,Januar,KOMPAKTKLASSE,BMW,2ER,1912,,294,,330,,300,,30,,233,,203,,30,,97,,97,,,-,,-,334,,,-,1539,,14013,1
2024,Januar,KOMPAKTKLASSE,BYD,DOLPHIN,14,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,14,,,-,,-,2,,14018,1
2024,Januar,KOMPAKTKLASSE,CITROEN,C4,1628,,144,,,-,,-,,-,,-,,-,,-,,-,,-,,-,297,,,-,,-,1276,,14424,1
2024,Januar,KOMPAKTKLASSE,DACIA,SANDERO,3496,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,1011,,14434,1
2024,Januar,KOMPAKTKLASSE,DS,DS4,93,,11,,5,,5,,,-,,-,,-,,-,5,,5,,,-,,-,,-,,-,84,,14435,1
2024,Januar,KOMPAKTKLASSE,FIAT,TIPO,85,,,-,85,,85,,,-,85,,85,,,-,,-,,-,,-,,-,,-,,-,74,,14437,1
2024,Januar,KOMPAKTKLASSE,FORD,FOCUS,1776,,601,,953,,953,,,-,953,,953,,,-,,-,,-,,-,,-,,-,,-,1323,,14438,1
2024,Januar,KOMPAKTKLASSE,GWM,FUNKY CAT,22,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,22,,,-,,-,10,,14440,1
2024,Januar,KOMPAKTKLASSE,HONDA,CIVIC,56,,,-,53,,53,,,-,53,,53,,,-,,-,,-,,-,,-,,-,,-,16,,14442,1
2024,Januar,KOMPAKTKLASSE,HYUNDAI,I 30,858,,,-,459,,459,,,-,459,,459,,,-,,-,,-,,-,,-,,-,,-,643,,14444,1
2024,Januar,KOMPAKTKLASSE,KIA,CEED,1567,,,-,379,,116,,263,,270,,7,,263,,109,,109,,,-,,-,,-,,-,1094,,14446,1
2024,Januar,KOMPAKTKLASSE,MAZDA,3,278,,,-,278,,278,,,-,278,,278,,,-,,-,,-,,-,,-,9,,,-,137,,14449,1
2024,Januar,KOMPAKTKLASSE,MAZDA,MX-5,47,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,47,,17,,14453,1
2024,Januar,KOMPAKTKLASSE,MERCEDES,A-KLASSE,1396,,223,,1126,,1126,,,-,914,,914,,,-,212,,212,,,-,,-,205,,,-,701,,14457,1
2024,Januar,KOMPAKTKLASSE,MG ROEWE,4,249,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,249,,26,,,-,82,,14461,1
2024,Januar,KOMPAKTKLASSE,NISSAN,LEAF,69,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,69,,,-,,-,66,,14873,1
2024,Januar,KOMPAKTKLASSE,OPEL,ASTRA,3927,,1761,,389,,389,,,-,,-,,-,,-,389,,389,,,-,109,,,-,,-,3423,,14874,1
2024,Januar,KOMPAKTKLASSE,PEUGEOT,308,816,,235,,74,,74,,,-,,-,,-,,-,74,,74,,,-,69,,,-,,-,628,,14875,1
2024,Januar,KOMPAKTKLASSE,RENAULT,MEGANE,526,,28,,,-,,-,,-,,-,,-,,-,,-,,-,,-,471,,,-,,-,495,,14877,1
2024,Januar,KOMPAKTKLASSE,SEAT,BORN,198,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,198,,,-,,-,140,,14880,1
2024,Januar,KOMPAKTKLASSE,SEAT,LEON,3171,,1208,,901,,901,,,-,514,,514,,,-,387,,387,,,-,,-,238,,,-,2198,,14883,1
2024,Januar,KOMPAKTKLASSE,SKODA,OCTAVIA,4464,,2855,,789,,789,,,-,669,,669,,,-,120,,120,,,-,,-,819,,,-,3695,,14886,1
2024,Januar,KOMPAKTKLASSE,SKODA,SCALA,834,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,551,,14889,1
2024,Januar,KOMPAKTKLASSE,SUZUKI,SWACE,30,,,-,30,,30,,,-,30,,30,,,-,,-,,-,,-,,-,,-,,-,27,,14892,1
2024,Januar,KOMPAKTKLASSE,TOYOTA,COROLLA,1090,,,-,1088,,1088,,,-,1088,,1088,,,-,,-,,-,,-,,-,111,,,-,676,,14895,1
2024,Januar,KOMPAKTKLASSE,TOYOTA,PRIUS,70,,,-,70,,70,,,-,,-,,-,,-,70,,70,,,-,,-,,-,,-,62,,14898,1
2024,Januar,KOMPAKTKLASSE,VW,GOLF,9932,,3502,,2549,,2549,,,-,2543,,2543,,,-,6,,6,,,-,,-,526,,,-,8230,,14901,1
2024,Januar,KOMPAKTKLASSE,VW,ID.3,507,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,507,,,-,,-,452,,14904,1
2024,Januar,MITTELKLASSE,ALFA ROMEO,GIULIA,205,,7,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,176,,,-,163,,14910,1
2024,Januar,MITTELKLASSE,AUDI,A4,2436,,,-,2350,,908,,1442,,2350,,908,,1442,,,-,,-,,-,,-,768,,,-,2228,,14911,1
2024,Januar,MITTELKLASSE,AUDI,A5,505,,,-,372,,226,,146,,372,,226,,146,,,-,,-,,-,,-,307,,128,,423,,14912,1
2024,Januar,MITTELKLASSE,BMW,3ER,2859,,1,,1885,,596,,1289,,1435,,146,,1289,,450,,450,,,-,,-,1115,,,-,2512,,14914,1
2024,Januar,MITTELKLASSE,BMW,4ER,1603,,,-,395,,163,,232,,395,,163,,232,,,-,,-,,-,880,,640,,158,,1370,,14917,1
2024,Januar,MITTELKLASSE,BYD,SEAL,18,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,18,,2,,,-,9,,14920,1
2024,Januar,MITTELKLASSE,CITROEN,C5,1116,,269,,323,,323,,,-,242,,242,,,-,81,,81,,,-,,-,,-,,-,781,,14923,1
2024,Januar,MITTELKLASSE,HYUNDAI,G70,5,,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,2,,,-,4,,14926,1
2024,Januar,MITTELKLASSE,HYUNDAI,IONIQ6,182,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,182,,78,,,-,149,,14929,1
2024,Januar,MITTELKLASSE,JAGUAR,XE,24,,,-,9,,,-,9,,9,,,-,9,,,-,,-,,-,,-,6,,,-,20,,14932,1
2024,Januar,MITTELKLASSE,KIA,STINGER,8,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,8,,,-,4,,14935,1
2024,Januar,MITTELKLASSE,MAZDA,6,154,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,107,,14938,1
2024,Januar,MITTELKLASSE,MERCEDES,C-KLASSE,2700,,19,,2654,,1302,,1352,,2099,,915,,1184,,555,,387,,168,,,-,687,,42,,1797,,14941,1
2024,Januar,MITTELKLASSE,MERCEDES,CLA-KLASSE,1076,,217,,777,,777,,,-,582,,582,,,-,195,,195,,,-,,-,167,,,-,622,,14942,1
2024,Januar,MITTELKLASSE,MG ROEWE,5,205,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,205,,,-,,-,190,,14943,1
2024,Januar,MITTELKLASSE,NIO,ET5,7,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,7,,7,,,-,3,,14944,1
2024,Januar,MITTELKLASSE,PEUGEOT,408,123,,,-,18,,18,,,-,,-,,-,,-,18,,18,,,-,,-,,-,,-,99,,14945,1
2024,Januar,MITTELKLASSE,PEUGEOT,508,157,,88,,49,,49,,,-,,-,,-,,-,49,,49,,,-,,-,11,,,-,151,,14946,1
2024,Januar,MITTELKLASSE,POLESTAR,2,110,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,110,,29,,,-,84,,14947,1
2024,Januar,MITTELKLASSE,SKODA,SUPERB,1044,,769,,31,,31,,,-,,-,,-,,-,31,,31,,,-,,-,287,,,-,894,,14948,1
2024,Januar,MITTELKLASSE,TESLA,MODEL 3,695,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,695,,449,,,-,503,,14949,1
2024,Januar,MITTELKLASSE,VOLVO,60,463,,,-,463,,261,,202,,436,,234,,202,,27,,27,,,-,,-,295,,,-,367,,14950,1
